//Cycle : #inst 0  pc opcode reg regnum value
       726 :   #337 0 00000030 00000205 r23=0000002d
       727 :   #338 0 00000032 fe029be3 
       728 :   #339 0 00000028 00020283 
       733 :   #340 0 0000002c 00518023 r4=00010053
       734 :   #341 0 00000030 00000205 r23=0000002d
       735 :   #342 0 00000032 fe029be3 
       736 :   #343 0 00000028 00020283 
       741 :   #344 0 0000002c 00518023 r4=00010054
       742 :   #345 0 00000030 00000205 r23=0000002d
       743 :   #346 0 00000032 fe029be3 
       744 :   #347 0 00000028 00020283 
       749 :   #348 0 0000002c 00518023 r4=00010055
       750 :   #349 0 00000030 00000205 r23=0000002d
       751 :   #350 0 00000032 fe029be3 
       752 :   #351 0 00000028 00020283 
       757 :   #352 0 0000002c 00518023 r4=00010056
       758 :   #353 0 00000030 00000205 r23=0000002d
       759 :   #354 0 00000032 fe029be3 
       760 :   #355 0 00000028 00020283 
       765 :   #356 0 0000002c 00518023 r4=00010057
       766 :   #357 0 00000030 00000205 r23=0000002d
       767 :   #358 0 00000032 fe029be3 
       768 :   #359 0 00000028 00020283 
       773 :   #360 0 0000002c 00518023 r4=00010058
       774 :   #361 0 00000030 00000205 r23=0000002d
       775 :   #362 0 00000032 fe029be3 
       776 :   #363 0 00000028 00020283 
       781 :   #364 0 0000002c 00518023 r4=00010059
       782 :   #365 0 00000030 00000205 r23=0000002d
       783 :   #366 0 00000032 fe029be3 
       784 :   #367 0 00000028 00020283 
       789 :   #368 0 0000002c 00518023 r4=0001005a
       790 :   #369 0 00000030 00000205 r23=0000002d
       791 :   #370 0 00000032 fe029be3 
       792 :   #371 0 00000028 00020283 
       797 :   #372 0 0000002c 00518023 r4=0001005b
       798 :   #373 0 00000030 00000205 r23=0000002d
       799 :   #374 0 00000032 fe029be3 
       800 :   #375 0 00000028 00020283 
       805 :   #376 0 0000002c 00518023 r4=0001005c
       806 :   #377 0 00000030 00000205 r23=0000002d
       807 :   #378 0 00000032 fe029be3 
       808 :   #379 0 00000028 00020283 
       813 :   #380 0 0000002c 00518023 r4=0001005d
       814 :   #381 0 00000030 00000205 r23=0000002d
       815 :   #382 0 00000032 fe029be3 
       816 :   #383 0 00000028 00020283 
       821 :   #384 0 0000002c 00518023 r4=0001005e
       822 :   #385 0 00000030 00000205 r23=0000002d
       823 :   #386 0 00000032 fe029be3 
       824 :   #387 0 00000028 00020283 
       829 :   #388 0 0000002c 00518023 r4=0001005f
       830 :   #389 0 00000030 00000205 r23=0000002d
       831 :   #390 0 00000032 fe029be3 
       832 :   #391 0 00000028 00020283 
       837 :   #392 0 0000002c 00518023 r4=00010060
       838 :   #393 0 00000030 00000205 r23=0000002d
       839 :   #394 0 00000032 fe029be3 
       840 :   #395 0 00000028 00020283 
       845 :   #396 0 0000002c 00518023 r4=00010061
       846 :   #397 0 00000030 00000205 r23=0000002d
       847 :   #398 0 00000032 fe029be3 
       848 :   #399 0 00000028 00020283 
       853 :   #400 0 0000002c 00518023 r4=00010062
       854 :   #401 0 00000030 00000205 r23=0000002d
       855 :   #402 0 00000032 fe029be3 
       856 :   #403 0 00000028 00020283 
       861 :   #404 0 0000002c 00518023 r4=00010063
       862 :   #405 0 00000030 00000205 r23=0000002d
       863 :   #406 0 00000032 fe029be3 
       864 :   #407 0 00000028 00020283 
       869 :   #408 0 0000002c 00518023 r4=00010064
       870 :   #409 0 00000030 00000205 r23=0000002d
       871 :   #410 0 00000032 fe029be3 
       872 :   #411 0 00000028 00020283 
       877 :   #412 0 0000002c 00518023 r4=00010065
       878 :   #413 0 00000030 00000205 r23=0000002d
       879 :   #414 0 00000032 fe029be3 
       880 :   #415 0 00000028 00020283 
       885 :   #416 0 0000002c 00518023 r4=00010066
       886 :   #417 0 00000030 00000205 r23=0000002d
       887 :   #418 0 00000032 fe029be3 
       888 :   #419 0 00000028 00020283 
       893 :   #420 0 0000002c 00518023 r4=00010067
       894 :   #421 0 00000030 00000205 r23=0000002d
       895 :   #422 0 00000032 fe029be3 
       896 :   #423 0 00000028 00020283 
       901 :   #424 0 0000002c 00518023 r4=00010068
       902 :   #425 0 00000030 00000205 r23=0000002d
       903 :   #426 0 00000032 fe029be3 
       904 :   #427 0 00000028 00020283 
       909 :   #428 0 0000002c 00518023 r4=00010069
       910 :   #429 0 00000030 00000205 r23=0000000a
       911 :   #430 0 00000032 fe029be3 
       912 :   #431 0 00000028 00020283 
       917 :   #432 0 0000002c 00518023 r4=0001006a
       918 :   #433 0 00000030 00000205 
       919 :   #434 0 00000032 fe029be3 
       921 :   #435 0 00000036 d05801b7 r5=000000ff
       922 :   #436 0 0000003a 0ff00293 
       927 :   #437 0 0000003e 00518023 
