//Cycle : #inst 0  pc opcode reg regnum value
  558 :   #253 0 00000030 00000000000000000000001000000101 r23=00000032
  559 :   #254 0 00000032 11111110000000101001101111100011 
  560 :   #255 0 00000028 00000000000000100000001010000011 
  565 :   #256 0 0000002c 00000000010100011000000000100011 r4=0001003e
  566 :   #257 0 00000030 00000000000000000000001000000101 r23=00000020
  567 :   #258 0 00000032 11111110000000101001101111100011 
  568 :   #259 0 00000028 00000000000000100000001010000011 
  573 :   #260 0 0000002c 00000000010100011000000000100011 r4=0001003f
  574 :   #261 0 00000030 00000000000000000000001000000101 r23=00000040
  575 :   #262 0 00000032 11111110000000101001101111100011 
  576 :   #263 0 00000028 00000000000000100000001010000011 
  581 :   #264 0 0000002c 00000000010100011000000000100011 r4=00010040
  582 :   #265 0 00000030 00000000000000000000001000000101 r23=00000057
  583 :   #266 0 00000032 11111110000000101001101111100011 
  584 :   #267 0 00000028 00000000000000100000001010000011 
  589 :   #268 0 0000002c 00000000010100011000000000100011 r4=00010041
  590 :   #269 0 00000030 00000000000000000000001000000101 r23=00000044
  591 :   #270 0 00000032 11111110000000101001101111100011 
  592 :   #271 0 00000028 00000000000000100000001010000011 
  597 :   #272 0 0000002c 00000000010100011000000000100011 r4=00010042
  598 :   #273 0 00000030 00000000000000000000001000000101 r23=00000043
  599 :   #274 0 00000032 11111110000000101001101111100011 
  600 :   #275 0 00000028 00000000000000100000001010000011 
  605 :   #276 0 0000002c 00000000010100011000000000100011 r4=00010043
  606 :   #277 0 00000030 00000000000000000000001000000101 r23=00000020
  607 :   #278 0 00000032 11111110000000101001101111100011 
  608 :   #279 0 00000028 00000000000000100000001010000011 
  613 :   #280 0 0000002c 00000000010100011000000000100011 r4=00010044
  614 :   #281 0 00000030 00000000000000000000001000000101 r23=00000021
  615 :   #282 0 00000032 11111110000000101001101111100011 
  616 :   #283 0 00000028 00000000000000100000001010000011 
  621 :   #284 0 0000002c 00000000010100011000000000100011 r4=00010045
  622 :   #285 0 00000030 00000000000000000000001000000101 r23=00000021
  623 :   #286 0 00000032 11111110000000101001101111100011 
  624 :   #287 0 00000028 00000000000000100000001010000011 
  629 :   #288 0 0000002c 00000000010100011000000000100011 r4=00010046
  630 :   #289 0 00000030 00000000000000000000001000000101 r23=0000000a
  631 :   #290 0 00000032 11111110000000101001101111100011 
  632 :   #291 0 00000028 00000000000000100000001010000011 
  637 :   #292 0 0000002c 00000000010100011000000000100011 r4=00010047
  638 :   #293 0 00000030 00000000000000000000001000000101 r23=0000002d
  639 :   #294 0 00000032 11111110000000101001101111100011 
  640 :   #295 0 00000028 00000000000000100000001010000011 
  645 :   #296 0 0000002c 00000000010100011000000000100011 r4=00010048
  646 :   #297 0 00000030 00000000000000000000001000000101 r23=0000002d
  647 :   #298 0 00000032 11111110000000101001101111100011 
  648 :   #299 0 00000028 00000000000000100000001010000011 
  653 :   #300 0 0000002c 00000000010100011000000000100011 r4=00010049
  654 :   #301 0 00000030 00000000000000000000001000000101 r23=0000002d
  655 :   #302 0 00000032 11111110000000101001101111100011 
  656 :   #303 0 00000028 00000000000000100000001010000011 
  661 :   #304 0 0000002c 00000000010100011000000000100011 r4=0001004a
  662 :   #305 0 00000030 00000000000000000000001000000101 r23=0000002d
  663 :   #306 0 00000032 11111110000000101001101111100011 
  664 :   #307 0 00000028 00000000000000100000001010000011 
  669 :   #308 0 0000002c 00000000010100011000000000100011 r4=0001004b
  670 :   #309 0 00000030 00000000000000000000001000000101 r23=0000002d
  671 :   #310 0 00000032 11111110000000101001101111100011 
  672 :   #311 0 00000028 00000000000000100000001010000011 
  677 :   #312 0 0000002c 00000000010100011000000000100011 r4=0001004c
  678 :   #313 0 00000030 00000000000000000000001000000101 r23=0000002d
  679 :   #314 0 00000032 11111110000000101001101111100011 
  680 :   #315 0 00000028 00000000000000100000001010000011 
  685 :   #316 0 0000002c 00000000010100011000000000100011 r4=0001004d
  686 :   #317 0 00000030 00000000000000000000001000000101 r23=0000002d
  687 :   #318 0 00000032 11111110000000101001101111100011 
  688 :   #319 0 00000028 00000000000000100000001010000011 
  693 :   #320 0 0000002c 00000000010100011000000000100011 r4=0001004e
  694 :   #321 0 00000030 00000000000000000000001000000101 r23=0000002d
  695 :   #322 0 00000032 11111110000000101001101111100011 
  696 :   #323 0 00000028 00000000000000100000001010000011 
  701 :   #324 0 0000002c 00000000010100011000000000100011 r4=0001004f
  702 :   #325 0 00000030 00000000000000000000001000000101 r23=0000002d
  703 :   #326 0 00000032 11111110000000101001101111100011 
  704 :   #327 0 00000028 00000000000000100000001010000011 
  709 :   #328 0 0000002c 00000000010100011000000000100011 r4=00010050
  710 :   #329 0 00000030 00000000000000000000001000000101 r23=0000002d
  711 :   #330 0 00000032 11111110000000101001101111100011 
  712 :   #331 0 00000028 00000000000000100000001010000011 
  717 :   #332 0 0000002c 00000000010100011000000000100011 r4=00010051
  718 :   #333 0 00000030 00000000000000000000001000000101 r23=0000002d
  719 :   #334 0 00000032 11111110000000101001101111100011 
  720 :   #335 0 00000028 00000000000000100000001010000011 
  725 :   #336 0 0000002c 00000000010100011000000000100011 r4=00010052
  726 :   #337 0 00000030 00000000000000000000001000000101 r23=0000002d
  727 :   #338 0 00000032 11111110000000101001101111100011 
  728 :   #339 0 00000028 00000000000000100000001010000011 
  733 :   #340 0 0000002c 00000000010100011000000000100011 r4=00010053
  734 :   #341 0 00000030 00000000000000000000001000000101 r23=0000002d
  735 :   #342 0 00000032 11111110000000101001101111100011 
  736 :   #343 0 00000028 00000000000000100000001010000011 
  741 :   #344 0 0000002c 00000000010100011000000000100011 r4=00010054
  742 :   #345 0 00000030 00000000000000000000001000000101 r23=0000002d
  743 :   #346 0 00000032 11111110000000101001101111100011 
  744 :   #347 0 00000028 00000000000000100000001010000011 
  749 :   #348 0 0000002c 00000000010100011000000000100011 r4=00010055
  750 :   #349 0 00000030 00000000000000000000001000000101 r23=0000002d
  751 :   #350 0 00000032 11111110000000101001101111100011 
  752 :   #351 0 00000028 00000000000000100000001010000011 
  757 :   #352 0 0000002c 00000000010100011000000000100011 r4=00010056
  758 :   #353 0 00000030 00000000000000000000001000000101 r23=0000002d
  759 :   #354 0 00000032 11111110000000101001101111100011 
  760 :   #355 0 00000028 00000000000000100000001010000011 
  765 :   #356 0 0000002c 00000000010100011000000000100011 r4=00010057
  766 :   #357 0 00000030 00000000000000000000001000000101 r23=0000002d
  767 :   #358 0 00000032 11111110000000101001101111100011 
  768 :   #359 0 00000028 00000000000000100000001010000011 
  773 :   #360 0 0000002c 00000000010100011000000000100011 r4=00010058
  774 :   #361 0 00000030 00000000000000000000001000000101 r23=0000002d
  775 :   #362 0 00000032 11111110000000101001101111100011 
  776 :   #363 0 00000028 00000000000000100000001010000011 
  781 :   #364 0 0000002c 00000000010100011000000000100011 r4=00010059
  782 :   #365 0 00000030 00000000000000000000001000000101 r23=0000002d
  783 :   #366 0 00000032 11111110000000101001101111100011 
  784 :   #367 0 00000028 00000000000000100000001010000011 
  789 :   #368 0 0000002c 00000000010100011000000000100011 r4=0001005a
  790 :   #369 0 00000030 00000000000000000000001000000101 r23=0000002d
  791 :   #370 0 00000032 11111110000000101001101111100011 
  792 :   #371 0 00000028 00000000000000100000001010000011 
  797 :   #372 0 0000002c 00000000010100011000000000100011 r4=0001005b
  798 :   #373 0 00000030 00000000000000000000001000000101 r23=0000002d
  799 :   #374 0 00000032 11111110000000101001101111100011 
  800 :   #375 0 00000028 00000000000000100000001010000011 
  805 :   #376 0 0000002c 00000000010100011000000000100011 r4=0001005c
  806 :   #377 0 00000030 00000000000000000000001000000101 r23=0000002d
  807 :   #378 0 00000032 11111110000000101001101111100011 
  808 :   #379 0 00000028 00000000000000100000001010000011 
  813 :   #380 0 0000002c 00000000010100011000000000100011 r4=0001005d
  814 :   #381 0 00000030 00000000000000000000001000000101 r23=0000002d
  815 :   #382 0 00000032 11111110000000101001101111100011 
  816 :   #383 0 00000028 00000000000000100000001010000011 
  821 :   #384 0 0000002c 00000000010100011000000000100011 r4=0001005e
  822 :   #385 0 00000030 00000000000000000000001000000101 r23=0000002d
  823 :   #386 0 00000032 11111110000000101001101111100011 
  824 :   #387 0 00000028 00000000000000100000001010000011 
  829 :   #388 0 0000002c 00000000010100011000000000100011 r4=0001005f
  830 :   #389 0 00000030 00000000000000000000001000000101 r23=0000002d
  831 :   #390 0 00000032 11111110000000101001101111100011 
  832 :   #391 0 00000028 00000000000000100000001010000011 
  837 :   #392 0 0000002c 00000000010100011000000000100011 r4=00010060
  838 :   #393 0 00000030 00000000000000000000001000000101 r23=0000002d
  839 :   #394 0 00000032 11111110000000101001101111100011 
  840 :   #395 0 00000028 00000000000000100000001010000011 
  845 :   #396 0 0000002c 00000000010100011000000000100011 r4=00010061
  846 :   #397 0 00000030 00000000000000000000001000000101 r23=0000002d
  847 :   #398 0 00000032 11111110000000101001101111100011 
  848 :   #399 0 00000028 00000000000000100000001010000011 
  853 :   #400 0 0000002c 00000000010100011000000000100011 r4=00010062
  854 :   #401 0 00000030 00000000000000000000001000000101 r23=0000002d
  855 :   #402 0 00000032 11111110000000101001101111100011 
  856 :   #403 0 00000028 00000000000000100000001010000011 
  861 :   #404 0 0000002c 00000000010100011000000000100011 r4=00010063
  862 :   #405 0 00000030 00000000000000000000001000000101 r23=0000002d
  863 :   #406 0 00000032 11111110000000101001101111100011 
  864 :   #407 0 00000028 00000000000000100000001010000011 
  869 :   #408 0 0000002c 00000000010100011000000000100011 r4=00010064
  870 :   #409 0 00000030 00000000000000000000001000000101 r23=0000002d
  871 :   #410 0 00000032 11111110000000101001101111100011 
  872 :   #411 0 00000028 00000000000000100000001010000011 
